Motor Vehicle Theft	95	May	2010	5/31/2010
Homicide	6	June	2010	6/30/2010
Rape	14	June	2010	6/30/2010
Robbery	125	June	2010	6/30/2010
Assault	184	June	2010	6/30/2010
Burglary	370	June	2010	6/30/2010
Larceny	1000	June	2010	6/30/2010
Motor Vehicle Theft	130	June	2010	6/30/2010
Homicide	5	July	2010	7/31/2010
Rape	20	July	2010	7/31/2010
Robbery	131	July	2010	7/31/2010
Assault	215	July	2010	7/31/2010
Burglary	422	July	2010	7/31/2010
Larceny	954	July	2010	7/31/2010
Motor Vehicle Theft	126	July	2010	7/31/2010
Homicide	10	August	2010	8/31/2010
Rape	20	August	2010	8/31/2010
Robbery	119	August	2010	8/31/2010
Assault	175	August	2010	8/31/2010
Burglary	511	August	2010	8/31/2010
Larceny	888	August	2010	8/31/2010
Motor Vehicle Theft	129	August	2010	8/31/2010
Homicide	5	September	2010	9/30/2010
Rape	16	September	2010	9/30/2010
Robbery	130	September	2010	9/30/2010
Assault	132	September	2010	9/30/2010
Burglary	491	September	2010	9/30/2010
Larceny	785	September	2010	9/30/2010
Motor Vehicle Theft	136	September	2010	9/30/2010
Homicide	4	October	2010	10/31/2010
Rape	15	October	2010	10/31/2010
Robbery	152	October	2010	10/31/2010
Assault	159	October	2010	10/31/2010
Burglary	369	October	2010	10/31/2010
Larceny	807	October	2010	10/31/2010
Motor Vehicle Theft	134	October	2010	10/31/2010
Homicide	4	November	2010	11/30/2010
Rape	7	November	2010	11/30/2010
Robbery	131	November	2010	11/30/2010
Assault	127	November	2010	11/30/2010
Burglary	348	November	2010	11/30/2010
Larceny	684	November	2010	11/30/2010
Motor Vehicle Theft	113	November	2010	11/30/2010
Homicide	1	December	2010	12/31/2010
Rape	6	December	2010	12/31/2010
Robbery	112	December	2010	12/31/2010
Assault	110	December	2010	12/31/2010
Burglary	287	December	2010	12/31/2010
Larceny	632	December	2010	12/31/2010
Motor Vehicle Theft	117	December	2010	12/31/2010
Homicide	4	January	2011	1/31/2011
Rape	8	January	2011	1/31/2011
Robbery	108	January	2011	1/31/2011
Assault	124	January	2011	1/31/2011
Burglary	313	January	2011	1/31/2011
Larceny	578	January	2011	1/31/2011
Motor Vehicle Theft	100	January	2011	1/31/2011
Homicide	1	February	2011	2/28/2011
Rape	8	February	2011	2/28/2011
Robbery	74	February	2011	2/28/2011
Assault	77	February	2011	2/28/2011
Burglary	171	February	2011	2/28/2011
Larceny	468	February	2011	2/28/2011
Motor Vehicle Theft	90	February	2011	2/28/2011
Homicide	4	March	2011	3/31/2011
Rape	8	March	2011	3/31/2011
Robbery	96	March	2011	3/31/2011
Assault	104	March	2011	3/31/2011
Burglary	296	March	2011	3/31/2011
Larceny	589	March	2011	3/31/2011
Motor Vehicle Theft	89	March	2011	3/31/2011
Homicide	3	April	2011	4/30/2011
Rape	15	April	2011	4/30/2011
Robbery	127	April	2011	4/30/2011
Assault	138	April	2011	4/30/2011
Burglary	298	April	2011	4/30/2011
Larceny	743	April	2011	4/30/2011
Motor Vehicle Theft	98	April	2011	4/30/2011
Homicide	5	May	2011	5/31/2011
Rape	12	May	2011	5/31/2011
Robbery	111	May	2011	5/31/2011
Assault	150	May	2011	5/31/2011
Burglary	381	May	2011	5/31/2011
Larceny	767	May	2011	5/31/2011
Motor Vehicle Theft	92	May	2011	5/31/2011
Homicide	3	June	2011	6/30/2011
Rape	11	June	2011	6/30/2011
Robbery	106	June	2011	6/30/2011
Assault	177	June	2011	6/30/2011
Burglary	367	June	2011	6/30/2011
Larceny	777	June	2011	6/30/2011
Motor Vehicle Theft	99	June	2011	6/30/2011
Homicide	6	July	2011	7/31/2011
Rape	11	July	2011	7/31/2011
Robbery	139	July	2011	7/31/2011
Assault	177	July	2011	7/31/2011
Burglary	473	July	2011	7/31/2011
Larceny	851	July	2011	7/31/2011
Motor Vehicle Theft	105	July	2011	7/31/2011
Homicide	3	August	2011	8/31/2011
Rape	11	August	2011	8/31/2011
Robbery	146	August	2011	8/31/2011
Assault	129	August	2011	8/31/2011
Burglary	533	August	2011	8/31/2011
Larceny	883	August	2011	8/31/2011
Motor Vehicle Theft	116	August	2011	8/31/2011
Homicide	1	September	2011	9/30/2011
Rape	4	September	2011	9/30/2011
Robbery	158	September	2011	9/30/2011
Assault	145	September	2011	9/30/2011
Burglary	472	September	2011	9/30/2011
Larceny	823	September	2011	9/30/2011
Motor Vehicle Theft	114	September	2011	9/30/2011
Homicide	1	October	2011	10/31/2011
Rape	10	October	2011	10/31/2011
Robbery	122	October	2011	10/31/2011
Assault	120	October	2011	10/31/2011
Burglary	438	October	2011	10/31/2011
Larceny	804	October	2011	10/31/2011
Motor Vehicle Theft	81	October	2011	10/31/2011
Homicide	2	November	2011	11/30/2011
Rape	15	November	2011	11/30/2011
Robbery	139	November	2011	11/30/2011
Assault	127	November	2011	11/30/2011
Burglary	427	November	2011	11/30/2011
Larceny	796	November	2011	11/30/2011
Motor Vehicle Theft	103	November	2011	11/30/2011
Homicide	3	December	2011	12/31/2011
Rape	5	December	2011	12/31/2011
Robbery	145	December	2011	12/31/2011
Assault	128	December	2011	12/31/2011
Burglary	346	December	2011	12/31/2011
Larceny	753	December	2011	12/31/2011
Motor Vehicle Theft	82	December	2011	12/31/2011
Homicide	2	January	2012	1/31/2012
Rape	10	January	2012	1/31/2012
Robbery	123	January	2012	1/31/2012
Assault	138	January	2012	1/31/2012
Burglary	333	January	2012	1/31/2012
Larceny	699	January	2012	1/31/2012
Motor Vehicle Theft	94	January	2012	1/31/2012
Homicide	3	February	2012	2/28/2012
Rape	11	February	2012	2/28/2012
Robbery	74	February	2012	2/28/2012
Assault	107	February	2012	2/28/2012
Burglary	239	February	2012	2/28/2012
Larceny	557	February	2012	2/28/2012
Motor Vehicle Theft	71	February	2012	2/28/2012
Homicide	1	March	2012	3/31/2012
Rape	13	March	2012	3/31/2012
Robbery	117	March	2012	3/31/2012
Assault	149	March	2012	3/31/2012
Burglary	266	March	2012	3/31/2012
Larceny	667	March	2012	3/31/2012
Motor Vehicle Theft	89	March	2012	3/31/2012
Homicide	1	April	2012	4/30/2012
Rape	17	April	2012	4/30/2012
Robbery	126	April	2012	4/30/2012
Assault	119	April	2012	4/30/2012
Burglary	308	April	2012	4/30/2012
Larceny	751	April	2012	4/30/2012
Motor Vehicle Theft	85	April	2012	4/30/2012
Homicide	8	May	2012	5/31/2012
Rape	12	May	2012	5/31/2012
Robbery	126	May	2012	5/31/2012
Assault	170	May	2012	5/31/2012
Burglary	317	May	2012	5/31/2012
Larceny	758	May	2012	5/31/2012
Motor Vehicle Theft	110	May	2012	5/31/2012
Homicide	5	June	2012	6/30/2012
Rape	16	June	2012	6/30/2012
Robbery	99	June	2012	6/30/2012
Assault	150	June	2012	6/30/2012
Burglary	317	June	2012	6/30/2012
Larceny	644	June	2012	6/30/2012
Motor Vehicle Theft	89	June	2012	6/30/2012
Homicide	6	July	2012	7/31/2012
Rape	11	July	2012	7/31/2012
Robbery	83	July	2012	7/31/2012
Assault	178	July	2012	7/31/2012
Burglary	396	July	2012	7/31/2012
Larceny	822	July	2012	7/31/2012
Motor Vehicle Theft	118	July	2012	7/31/2012
Homicide	5	August	2012	8/31/2012
Rape	15	August	2012	8/31/2012
Robbery	160	August	2012	8/31/2012
Assault	205	August	2012	8/31/2012
Burglary	404	August	2012	8/31/2012
Larceny	824	August	2012	8/31/2012
Motor Vehicle Theft	111	August	2012	8/31/2012
Homicide	4	September	2012	9/30/2012
Rape	10	September	2012	9/30/2012
Robbery	132	September	2012	9/30/2012
Assault	159	September	2012	9/30/2012
